year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib
2013,1,1,0,37.04,21.92,53.97,230,10.35702,11.91865148,0,1013.9,10
2013,1,1,1,37.04,21.92,53.97,230,13.80936,15.8915353,0,1013,10
2013,1,1,2,37.94,21.92,52.09,230,12.65858,14.56724069,0,1012.6,10
2013,1,1,3,37.94,23,54.51,230,13.80936,15.8915353,0,1012.7,10
2013,1,1,4,37.94,24.08,57.04,240,14.96014,17.21582991,0,1012.8,10
2013,1,1,6,39.02,26.06,59.37,270,10.35702,11.91865148,0,1012,10
2013,1,1,7,39.02,26.96,61.63,250,8.05546,9.270062259,0,1012.3,10
2013,1,1,8,39.02,28.04,64.43,240,11.5078,13.24294608,0,1012.5,10
2013,1,1,9,39.92,28.04,62.21,250,12.65858,14.56724069,0,1012.2,10
2013,1,1,10,39.02,28.04,64.43,260,12.65858,14.56724069,0,1011.9,10
2013,1,1,11,37.94,28.04,67.21,240,11.5078,13.24294608,0,1012.4,10
2013,1,1,12,39.02,28.04,64.43,240,14.96014,17.21582991,0,1012.2,10
2013,1,1,13,39.92,28.04,62.21,250,10.35702,11.91865148,0,1012.2,10
2013,1,1,14,39.92,28.04,62.21,260,14.96014,17.21582991,0,1012.7,10
2013,1,1,15,41,28.04,59.65,260,13.80936,15.8915353,0,1012.4,10
2013,1,1,16,41,26.96,57.06,260,14.96014,17.21582991,0,1011.4,10
2013,1,1,17,39.2,28.4,64.93,270,16.11092,18.54012452,0,,10
2013,1,1,18,39.2,28.4,64.93,330,14.96014,17.21582991,0,,10
2013,1,1,19,39.02,24.08,54.68,280,13.80936,15.8915353,0,1010.8,10
2013,1,1,20,37.94,24.08,57.04,290,9.20624,10.59435687,0,1011.9,10
2013,1,1,21,37.04,19.94,49.62,300,13.80936,15.8915353,0,1012.1,10
2013,1,1,22,35.96,19.04,49.83,330,11.5078,13.24294608,0,1013.2,10
2013,1,1,23,33.98,15.08,45.43,310,12.65858,14.56724069,0,1014.1,10
2013,1,2,0,33.08,12.92,42.84,320,10.35702,11.91865148,0,1014.4,10
2013,1,2,1,32,15.08,49.19,310,14.96014,17.21582991,0,1015.2,10
2013,1,2,2,30.02,12.92,48.48,320,18.41248,21.18871373,0,1016,10
2013,1,2,3,28.94,12.02,48.69,320,18.41248,21.18871373,0,1016.5,10
2013,1,2,4,28.04,10.94,48.15,310,16.11092,18.54012452,0,1016.4,10
2013,1,2,5,26.96,10.94,50.34,310,14.96014,17.21582991,0,1016.3,10
2013,1,2,6,26.06,10.94,52.25,330,12.65858,14.56724069,0,1016.3,10
2013,1,2,7,24.98,10.94,54.65,330,13.80936,15.8915353,0,1017,10
2013,1,2,8,24.08,8.96,51.93,320,14.96014,17.21582991,0,1016.6,10
2013,1,2,9,24.08,8.96,51.93,330,12.65858,14.56724069,0,1016.9,10
2013,1,2,10,24.08,8.96,51.93,330,6.90468,7.94576765,0,1016.9,10
2013,1,2,11,24.08,8.96,51.93,310,3.45234,3.972883825,0,1017.2,10
2013,1,2,12,24.98,10.04,52.5,300,6.90468,7.94576765,0,1017.6,10
2013,1,2,13,24.98,10.04,52.5,280,9.20624,10.59435687,0,1018.5,10
2013,1,2,14,26.96,10.04,48.36,290,11.5078,13.24294608,0,1019,10
2013,1,2,15,28.94,10.94,46.41,280,9.20624,10.59435687,0,1018.5,10
2013,1,2,16,30.92,12.02,44.92,300,14.96014,17.21582991,0,1017.5,10
2013,1,2,17,32,12.92,44.74,290,12.65858,14.56724069,0,1017.1,10
2013,1,2,18,33.98,12.92,41.33,290,16.11092,18.54012452,0,1017.3,10
2013,1,2,19,33.98,10.94,37.86,310,17.2617,19.86441913,0,1017.8,10
2013,1,2,20,33.98,12.02,39.72,310,13.80936,15.8915353,0,1018.5,10
2013,1,2,21,32,12.92,44.74,310,6.90468,7.94576765,0,1018.6,10
2013,1,2,22,32,12.92,44.74,290,12.65858,14.56724069,0,1019.7,10
2013,1,2,23,30.92,12.92,46.74,300,11.5078,13.24294608,0,1020.3,10
2013,1,3,0,30.92,14,49.01,290,6.90468,7.94576765,0,1020.4,10
2013,1,3,1,30.02,14,50.84,280,9.20624,10.59435687,0,1020.6,10
